addr,name,owner,score,online,gps,sync,rewards_total,rewards_today,rewards_yesterday,rewards_24h,rewards_48h,rewards_7d,rewards_7d_prior,rewards_30d,rewards_30d_prior,rewards_90d,rewards_90d_prior,rewards_365d,rewards_365d_prior
112e5PkJKNP2A6BPknZUaBNshq8A3egLPUQFZ8wVQF8wiRJqU1ZQ,able-cobalt-troll,135Z69iohre1geXegCrXpNrtQ4Yd7qjdEh1pSHm46v7mhA7gBye,0.0,online,-,99%,124978189042,360230758,2813910063,3174140821,5649678887,10330625694,9704966181,50762254336,56957556709,124978189042,0,124978189042,0
112QgESiC6nsyTGLhJTHXTHDs8cCs9vKGpJHzrMddNMYFWRBWspP,able-jetblack-sheep,13BXVfHSN425qBXZREjSmMJmjFXrpHQmNWhQavQ7YYjJrq7dk6j,0.0,online,-,99%,14030824197,132065463,927370627,1059436090,1969940531,3541706261,2641692206,13971276049,0,14030824197,0,14030824197,0
11XVUDHS7vbMo5hfZszqWGKiu78ydCxN84DAjW8UqM8zN3vpwPE,able-tortilla-dalmatian,14jF6o775mdvRTiqeCfF8pgQ9imgEGiJYfb2wYCDUA3DD9a471f,0.0,online,-,99%,428542366653,116843035,1088822232,1205665267,2545290421,4160497759,368714718083,377662019410,1749005118,399194047345,29068985126,428542366653,0
112bfq1Wjf9uQQAbgqpR25DYUveJHPmtur6DZoicRsMn6gHHUBD2,abundant-amethyst-condor,14F58GHtFg9U4QTHudEj6Cdi9Fs1apGYEzaZqfoiu5oDgdEG4rr,0.0,online,-,99%,549709422,4020653,8982218,13002871,48383710,103757178,70207321,510450936,39258486,549709422,0,549709422,0
11yr4XAEUcbACLtLe4DaL2FAQ6h1UTjzMZscBEdZcNVqzsnUmvZ,abundant-pine-boar,14ZvqzyLuqRkZPEzhzT8tQ8Qgk91ErdhFt8eYA4vDmv4oZbgf3u,0.0,online,-,99%,191092428046,22095095,1196342502,1218437597,1493873157,3241840553,9129913460,23407657334,27004497343,84936398037,104981892551,191092428046,0
11KrvjLPhqJU27CSZvSHC32mTf1B6KvwTjSWKPYjpDsRGeVaNVM,abundant-sangria-peacock,13BXVfHSN425qBXZREjSmMJmjFXrpHQmNWhQavQ7YYjJrq7dk6j,0.0,online,-,99%,159173447714,194901102,4686708921,4881610023,5946001945,11653242472,7730147811,43301326899,70466367844,139590304145,19583143569,159173447714,0
112uQWZKZSJQpNjv7kRgjADVBKNq9uqaMeCDTyGfbRDBUSuJKuQR,abundant-slate-loris,13cxvd8mFDbyQVpLN2Dmk7r8cCRprbywUaw5XQ1e6uRviuTweVg,0.0,online,-,99%,310663023355,95976601,765132290,861108891,882313218,7165087608,1349774119,13538895128,20277183881,53555706578,140025116557,310663023355,0
11AQpaKhBcii5867S5BqgacGgjfUTRmQsfw8nHtezXpmXopRu1c,acidic-amethyst-deer,14F58GHtFg9U4QTHudEj6Cdi9Fs1apGYEzaZqfoiu5oDgdEG4rr,0.0,online,-,99%,199383063892,6548111,44719631,51267742,51267742,156015260,198166644734,198632014893,594999921,199383063892,0,199383063892,0
1122wGUjERCxS7GDVhxKc4Hx3tGyiZnKefFU8kXkniSfr3JrTSML,acidic-paisley-gecko,13CVyPNr8HxZUZ8yDeu5UjbhJrH7tLXCzK8doNy28JzEtw8M6aS,0.0,online,-,99%,151197042996,176599578,699382279,875981857,1592562526,4539347018,3374506431,15377041332,29791393744,79742739967,70157570571,151197042996,0
11HmjYUH96RYDS5WUx6FEuYLAgshLTuq2ugKD3DiZTwTerjeXSX,acrobatic-beige-starfish,14jF6o775mdvRTiqeCfF8pgQ9imgEGiJYfb2wYCDUA3DD9a471f,0.0,online,-,99%,79715637857,280491034,623962719,904453753,910611725,2673160712,210759385,3479162858,1352745280,11071274856,68583203351,79715637857,0
